"","Dataset","Method","Metric","Testing_Proportion","Mean","SD"
"193","Indica","Transfer","PM_10",0.5,35.5820707070707,13.3666711305455
"194","Indica","Transfer","PM_10",0.75,35.0537668350168,12.1388409573333
"195","Indica","Transfer","PM_10",0.8,34.5218191530692,11.3226380710144
"196","Indica","Transfer","PM_20",0.15,48.8333333333333,13.2232454391522
"197","Indica","Transfer","PM_20",0.3,48.988038277512,12.1833593095674
"198","Indica","Transfer","PM_20",0.5,49.0437599681021,10.5873870417272
"199","Indica","Transfer","PM_20",0.75,48.9722220526967,9.37332888242072
"200","Indica","Transfer","PM_20",0.8,48.6055668016194,8.62890847577994
"201","Maize","GBLUP","COR",0.15,0.302675030581605,0.0875955177642893
"202","Maize","GBLUP","COR",0.3,0.296860734499265,0.0842702025079963
"203","Maize","GBLUP","COR",0.5,0.284266415831015,0.0716830900269478
"204","Maize","GBLUP","COR",0.75,0.264691020487432,0.0716969048523193
"205","Maize","GBLUP","COR",0.8,0.247052753084,0.0748414440695678
"206","Maize","GBLUP","NRMSE",0.15,8.4930957985199,68.1255556765005
"207","Maize","GBLUP","NRMSE",0.3,-0.95156554416978,96.0112663238107
"208","Maize","GBLUP","NRMSE",0.5,17.7565067074352,157.611705965475
"209","Maize","GBLUP","NRMSE",0.75,21.6320833931399,197.824966439647
"210","Maize","GBLUP","NRMSE",0.8,2.00531709231858,217.028651608626
"211","Maize","GBLUP","PM_10",0.15,23,12.9267041541656
"212","Maize","GBLUP","PM_10",0.3,22.2904761904762,12.0229844855319
"213","Maize","GBLUP","PM_10",0.5,21.0994708994709,9.83042642817337
"214","Maize","GBLUP","PM_10",0.75,20.2256613756614,8.7184531149099
"215","Maize","GBLUP","PM_10",0.8,19.5488471177945,8.08702761912494
"216","Maize","GBLUP","PM_20",0.15,34.2857142857143,5.95054654511951
"217","Maize","GBLUP","PM_20",0.3,33.4163898117386,5.67881505167952
"218","Maize","GBLUP","PM_20",0.5,32.7000430663221,4.97530808072278
"219","Maize","GBLUP","PM_20",0.75,31.6491094499816,4.85300844413727
"220","Maize","GBLUP","PM_20",0.8,30.7227670513211,4.97528832999488
"221","Maize","Transfer","COR",0.15,0.326250897731419,0.084711682350978
"222","Maize","Transfer","COR",0.3,0.313514646130558,0.081398484365664
"223","Maize","Transfer","COR",0.5,0.310125478992501,0.0675653587744277
"224","Maize","Transfer","COR",0.75,0.303074575600885,0.0609533649849334
"225","Maize","Transfer","COR",0.8,0.292811380446003,0.0595248403121605
"226","Maize","Transfer","NRMSE",0.15,8.15061355742013,66.5614256002657
"227","Maize","Transfer","NRMSE",0.3,-0.944550726035303,95.5518639588094
